frame,n_detections,track_id,x,y,vx,vy,label,hits,frames_missing,confirmed,total_fibers_so_far,total_amorphous_so_far
80,1,12,-2.77,80.69,-9.77,-0.305,amorphous,21,1,True,1,10
81,1,11,115.0,248.0,-85.22,-1.093,amorphous,30,0,True,1,10
81,1,12,-12.54,80.39,-9.77,-0.305,amorphous,21,2,True,1,10
82,1,11,84.0,243.0,-58.11,-3.047,amorphous,31,0,True,1,10
82,1,12,-22.31,80.08,-9.77,-0.305,amorphous,21,3,True,1,10
83,1,11,126.0,234.0,-8.055,-6.023,amorphous,32,0,True,1,10
83,1,12,-32.08,79.78,-9.77,-0.305,amorphous,21,4,True,1,10
84,2,11,117.94,227.98,-8.055,-6.023,amorphous,32,1,True,1,10
84,2,12,87.0,230.0,3.115,14.747,amorphous,22,0,True,1,10
84,2,14,624.0,254.0,0.0,0.0,amorphous,1,0,False,1,10
85,1,11,109.89,221.95,-8.055,-6.023,amorphous,32,2,True,1,11
85,1,12,90.12,244.75,3.115,14.747,amorphous,22,1,True,1,11
85,1,14,572.0,251.0,-52.0,-3.0,amorphous,2,0,True,1,11
86,1,11,101.83,215.93,-8.055,-6.023,amorphous,32,3,True,1,11
86,1,12,93.23,259.49,3.115,14.747,amorphous,22,2,True,1,11
86,1,14,534.0,251.0,-45.0,-1.5,amorphous,3,0,True,1,11
87,1,11,93.78,209.91,-8.055,-6.023,amorphous,32,4,True,1,11
87,1,12,96.35,274.24,3.115,14.747,amorphous,22,3,True,1,11
87,1,14,550.0,251.0,-14.5,-0.75,amorphous,4,0,True,1,11
88,1,11,85.72,203.88,-8.055,-6.023,amorphous,32,5,True,1,11
88,1,12,99.46,288.99,3.115,14.747,amorphous,22,4,True,1,11
88,1,14,568.0,248.0,1.75,-1.875,amorphous,5,0,True,1,11
89,1,12,102.58,303.74,3.115,14.747,amorphous,22,5,True,1,11
89,1,14,479.0,256.0,-43.625,3.062,amorphous,6,0,True,1,11
90,1,14,417.0,257.0,-52.812,2.031,amorphous,7,0,True,1,11
